date,solve_date,day,elapsed_seconds,solved,checked,revealed,streak_eligible
2019-07-01,1969-12-31 19:00:00,Mon,0,0,0,0,0
2019-07-02,1969-12-31 19:00:00,Tue,0,0,0,0,0
2019-07-03,1969-12-31 19:00:00,Wed,0,0,0,0,0
2019-07-04,1969-12-31 19:00:00,Thu,0,0,0,0,0
2019-07-05,1969-12-31 19:00:00,Fri,0,0,0,0,0
2019-07-06,1969-12-31 19:00:00,Sat,0,0,0,0,0
2019-07-07,1969-12-31 19:00:00,Sun,0,0,0,0,0
2019-07-08,1969-12-31 19:00:00,Mon,0,0,0,0,0
2019-07-09,1969-12-31 19:00:00,Tue,0,0,0,0,0
2019-07-10,1969-12-31 19:00:00,Wed,0,0,0,0,0
2019-07-11,1969-12-31 19:00:00,Thu,0,0,0,0,0
2019-07-12,1969-12-31 19:00:00,Fri,0,0,0,0,0
2019-07-13,1969-12-31 19:00:00,Sat,0,0,0,0,0
2019-07-14,1969-12-31 19:00:00,Sun,0,0,0,0,0
2019-07-15,1969-12-31 19:00:00,Mon,0,0,0,0,0
2019-07-16,1969-12-31 19:00:00,Tue,0,0,0,0,0
2019-07-17,1969-12-31 19:00:00,Wed,0,0,0,0,0
2019-07-18,1969-12-31 19:00:00,Thu,0,0,0,0,0
2019-07-19,1969-12-31 19:00:00,Fri,0,0,0,0,0
2019-07-20,1969-12-31 19:00:00,Sat,0,0,0,0,0
2019-07-21,2019-07-23 21:28:09,Sun,4048,1,0,0,0
2019-07-22,2020-06-22 20:10:44,Mon,325,1,0,0,0
2019-07-23,2020-06-23 16:51:48,Tue,419,1,0,0,0
2019-07-24,2019-07-24 13:35:36,Wed,2765,1,0,0,1
2019-07-25,2019-07-25 12:51:47,Thu,309,1,0,0,1
2019-07-26,2019-07-26 20:05:59,Fri,4383,1,0,0,1
2019-07-27,2019-07-31 20:24:10,Sat,5169,1,1,0,0
2019-07-28,2019-07-28 15:12:35,Sun,5636,1,0,0,1
2019-07-29,2019-07-29 21:44:43,Mon,1326,1,0,0,1
2019-07-30,2019-07-30 17:40:44,Tue,1514,1,0,0,1
2019-07-31,2019-07-31 15:07:40,Wed,3508,1,0,0,1
2019-08-01,2019-08-01 18:03:57,Thu,3609,1,0,0,1
2019-08-02,2019-08-02 21:54:25,Fri,3976,1,0,0,1
2019-08-03,2019-12-16 08:48:53,Sat,3569,1,0,0,0
2019-08-04,2019-08-06 08:33:16,Sun,2406,1,0,0,0
2019-08-05,2019-08-06 11:59:39,Mon,853,1,0,0,0
2019-08-06,2019-08-06 22:28:00,Tue,2942,1,0,0,1
2019-08-07,2019-08-07 23:30:26,Wed,3291,1,0,0,1
2019-08-08,2019-12-25 08:26:39,Thu,4391,1,0,0,0
2019-08-09,2019-12-25 12:55:53,Fri,2522,1,0,0,0
2019-08-10,2019-08-10 17:02:12,Sat,2742,1,0,0,1
2019-08-11,2019-08-15 10:15:17,Sun,7394,1,1,0,0
2019-08-12,2019-08-12 18:32:21,Mon,556,1,0,0,1
2019-08-13,2019-08-13 09:51:34,Tue,1778,1,0,0,1
2019-08-14,2019-08-14 15:40:55,Wed,2667,1,0,0,1
2019-08-15,2019-11-11 19:22:56,Thu,4167,1,0,0,0
2019-08-16,2019-12-28 00:51:16,Fri,2809,1,0,0,0
2019-08-17,2019-12-30 09:57:06,Sat,2385,1,0,0,0
2019-08-18,2019-12-30 13:43:12,Sun,2824,1,0,0,0
2019-08-19,2019-08-19 13:04:47,Mon,1258,1,0,0,1
2019-08-20,2019-08-21 12:55:56,Tue,1705,1,0,0,0
2019-08-21,2019-08-21 19:53:42,Wed,1607,1,0,0,1
2019-08-22,2019-08-25 13:00:47,Thu,1888,1,0,0,0
2019-08-23,2019-08-24 13:01:42,Fri,2530,1,0,0,0
2019-08-24,2020-01-04 15:07:00,Sat,2684,1,0,0,0
2019-08-25,2019-12-30 09:37:10,Sun,4188,1,0,0,0
2019-08-26,2019-08-26 11:55:00,Mon,581,1,0,0,1
2019-08-27,2019-08-28 17:37:19,Tue,1928,1,0,0,0
2019-08-28,2019-08-28 21:31:26,Wed,2142,1,0,0,1
2019-08-29,2019-08-30 21:14:14,Thu,3526,1,0,0,0
2019-08-30,2019-08-30 20:11:42,Fri,2026,1,0,0,1
2019-08-31,2019-10-04 22:56:52,Sat,1838,1,0,0,0
2019-09-01,2019-09-30 19:40:15,Sun,3819,1,0,0,0
2019-09-02,2019-09-02 12:20:38,Mon,983,1,0,0,1
2019-09-03,2019-09-03 17:55:30,Tue,1582,1,0,0,1
2019-09-04,2019-09-04 22:26:48,Wed,1183,1,0,0,1
2019-09-05,2019-09-05 23:16:05,Thu,2519,1,0,0,1
2019-09-06,2019-09-06 16:36:55,Fri,2024,1,0,0,1
2019-09-07,2019-09-30 16:02:16,Sat,2466,1,0,0,0
2019-09-08,2019-09-30 14:26:15,Sun,4231,1,0,0,0
2019-09-09,2019-09-09 16:42:15,Mon,1128,1,0,0,1
2019-09-10,2019-09-11 13:39:45,Tue,885,1,1,0,0
2019-09-11,2019-09-11 23:01:46,Wed,2085,1,0,0,1
2019-09-12,2019-09-12 21:44:18,Thu,1969,1,0,0,1
2019-09-13,2019-09-13 14:27:44,Fri,1461,1,0,0,1
2019-09-14,2019-09-14 19:26:53,Sat,591,1,0,0,1
2019-09-15,2019-09-23 18:37:05,Sun,3731,1,1,0,0
2019-09-16,2019-09-16 16:59:58,Mon,564,1,0,0,1
2019-09-17,2019-09-17 22:11:15,Tue,1336,1,0,0,1
